Data e Hora;Ativo;Tipo;Valor;Preço Entrada;Resultado;Lucro/Prejuízo
31-03-2025 19:46:18;AUDCAD-OTC;PUT;1000.0;0.912825;LOSS;-1000.0
31-03-2025 20:11:18;AUDCAD-OTC;PUT;1000.0;0.912615;LOSS;-1000.0
31-03-2025 20:40:58;EURUSD-OTC;PUT;1000.0;1.080945;WIN;860.0
31-03-2025 21:27:17;EURUSD-OTC;PUT;1000.0;1.080085;WIN;860.0
31-03-2025 21:35:11;EURUSD-OTC;PUT;1000.0;1.080565;WIN;860.0
31-03-2025 21:41:19;EURUSD-OTC;PUT;1000.0;1.080945;WIN;860.0
31-03-2025 22:01:17;EURUSD-OTC;PUT;1000.0;1.080375;WIN;860.0
31-03-2025 22:10:08;EURUSD-OTC;PUT;1000.0;1.080425;WIN;860.0
01-04-2025 14:01:06;USDSGD-OTC;PUT;1000.0;1.351335;WIN;840.0
01-04-2025 14:04:06;USDSGD-OTC;PUT;1000.0;1.350935;LOSS;-1000.0
01-04-2025 14:07:04;USDSGD-OTC;PUT;1000.0;1.352945;WIN;840.0
01-04-2025 14:09:04;USDSGD-OTC;PUT;1000.0;1.353205;LOSS;-1000.0
01-04-2025 14:13:05;USDSGD-OTC;PUT;1000.0;1.352115;LOSS;-1000.0
01-04-2025 14:17:18;USDSGD-OTC;PUT;1000.0;1.354735;LOSS;-1000.0
01-04-2025 14:20:28;USDSGD-OTC;PUT;1000.0;1.354615;LOSS;-1000.0
01-04-2025 14:24:08;USDSGD-OTC;PUT;1000.0;1.354145;WIN;840.0
01-04-2025 14:32:09;USDSGD-OTC;PUT;1000.0;1.351445;WIN;840.0
01-04-2025 14:35:27;USDSGD-OTC;PUT;1000.0;1.351155;WIN;840.0
01-04-2025 14:40:06;USDSGD-OTC;PUT;1000.0;1.350915;LOSS;-1000.0
01-04-2025 14:45:08;USDSGD-OTC;PUT;1000.0;1.350525;LOSS;-1000.0
01-04-2025 14:53:05;USDSGD-OTC;PUT;1000.0;1.350045;LOSS;-1000.0
01-04-2025 14:55:07;USDSGD-OTC;PUT;1000.0;1.351735;WIN;840.0
01-04-2025 14:58:08;USDSGD-OTC;PUT;1000.0;1.350935;WIN;840.0
01-04-2025 15:00:12;USDSGD-OTC;PUT;1000.0;1.351145;LOSS;-1000.0
01-04-2025 15:02:04;USDSGD-OTC;PUT;1000.0;1.352415;WIN;840.0
01-04-2025 15:07:07;USDSGD-OTC;PUT;1000.0;1.351035;WIN;840.0
01-04-2025 15:09:23;USDSGD-OTC;PUT;1000.0;1.351985;LOSS;-1000.0
01-04-2025 15:12:06;USDSGD-OTC;PUT;1000.0;1.352775;WIN;840.0
01-04-2025 15:16:06;USDSGD-OTC;PUT;1000.0;1.351125;LOSS;-1000.0
01-04-2025 15:20:05;USDSGD-OTC;PUT;1000.0;1.351815;LOSS;-1000.0
01-04-2025 15:26:06;USDSGD-OTC;PUT;1000.0;1.349575;WIN;840.0
01-04-2025 15:29:05;USDSGD-OTC;PUT;1000.0;1.349345;LOSS;-1000.0
01-04-2025 15:34:06;USDSGD-OTC;PUT;1000.0;1.350165;LOSS;-1000.0
01-04-2025 15:40:06;USDSGD-OTC;PUT;1000.0;1.348155;LOSS;-1000.0
01-04-2025 15:42:04;USDSGD-OTC;PUT;1000.0;1.350065;WIN;840.0
01-04-2025 15:44:06;USDSGD-OTC;PUT;1000.0;1.348915;WIN;840.0
01-04-2025 15:48:05;USDSGD-OTC;PUT;1000.0;1.348465;WIN;840.0
01-04-2025 15:57:07;USDSGD-OTC;PUT;1000.0;1.346635;WIN;840.0
01-04-2025 16:02:08;USDSGD-OTC;PUT;1000.0;1.347095;LOSS;-1000.0
01-04-2025 16:11:10;USDSGD-OTC;PUT;1000.0;1.347865;WIN;840.0
01-04-2025 16:13:07;USDSGD-OTC;PUT;1000.0;1.347395;WIN;840.0
01-04-2025 16:15:05;USDSGD-OTC;PUT;1000.0;1.347565;WIN;840.0
